group,skill,assignment_number,participant_id_1,participant_id_2,feedback_1,feedback_2,sim
9-12,Documentation,97.0,10,12,This submission is completely identical to the submission by student 682. Plagiarism is considered.,No comment supplied,0.10848369
9-12,Documentation,97.0,11,12,documented well. every function is defined,No comment supplied,0.057382505
9-12,Documentation,249.0,9,10,No comment supplied,"The code is generally well-structured and accomplishes some tasks. However, the simulation process shows that eventually all the animals will be infected, which seems to be not a very reasonable phenomenon. The code provides readable comments. It is also suggested to provide general documentation with detailed elaborations on how the system is accomplished.",0.021740884
9-12,Documentation,249.0,9,11,No comment supplied,Good documentation however some comments are copied and pasted and are inaccurate,0.31184125
9-12,Documentation,249.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Documentation,249.0,10,11,"The code is generally well-structured and accomplishes some tasks. However, the simulation process shows that eventually all the animals will be infected, which seems to be not a very reasonable phenomenon. The code provides readable comments. It is also suggested to provide general documentation with detailed elaborations on how the system is accomplished.",Good documentation however some comments are copied and pasted and are inaccurate,0.23634069
9-12,Documentation,249.0,10,12,"The code is generally well-structured and accomplishes some tasks. However, the simulation process shows that eventually all the animals will be infected, which seems to be not a very reasonable phenomenon. The code provides readable comments. It is also suggested to provide general documentation with detailed elaborations on how the system is accomplished.",No comment supplied,0.021740884
9-12,Documentation,249.0,11,12,Good documentation however some comments are copied and pasted and are inaccurate,No comment supplied,0.31184125
9-12,Documentation,478.0,9,10,No comment supplied,"The code is generally well-structured and accomplishes the base tasks. Some challenging tasks are also attempted. However, it seems all predator animals can eat all prey animals, so lion and jaguar eating ant seems not a reasonable setting.
It is suggested to provide more accurate comments to improve readability. It is also suggested to provide general documentation with detailed elaborations on how the system is accomplished.",0.086565346
9-12,Documentation,478.0,9,11,No comment supplied,"good documentation, easy to understand the functions and what they do.",0.056120187
9-12,Documentation,478.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Documentation,478.0,10,11,"The code is generally well-structured and accomplishes the base tasks. Some challenging tasks are also attempted. However, it seems all predator animals can eat all prey animals, so lion and jaguar eating ant seems not a reasonable setting.
It is suggested to provide more accurate comments to improve readability. It is also suggested to provide general documentation with detailed elaborations on how the system is accomplished.","good documentation, easy to understand the functions and what they do.",0.3180831
9-12,Documentation,478.0,10,12,"The code is generally well-structured and accomplishes the base tasks. Some challenging tasks are also attempted. However, it seems all predator animals can eat all prey animals, so lion and jaguar eating ant seems not a reasonable setting.
It is suggested to provide more accurate comments to improve readability. It is also suggested to provide general documentation with detailed elaborations on how the system is accomplished.",No comment supplied,0.086565346
9-12,Documentation,478.0,11,12,"good documentation, easy to understand the functions and what they do.",No comment supplied,0.056120187
9-12,Documentation,551.0,9,10,No comment supplied,"The code is well-structured, and tasks are very well achieved with good simulator views. The code is well-commented, readable and easy to understand. It is suggested to provide more detailed documentation with elaboration on how the system is achieved by each class. The readability of the code can be better by replacing some magical numbers with named constants and avoiding some duplication.",0.04374025
9-12,Documentation,551.0,9,11,No comment supplied,documented very well,0.2034969
9-12,Documentation,551.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Documentation,551.0,10,11,"The code is well-structured, and tasks are very well achieved with good simulator views. The code is well-commented, readable and easy to understand. It is suggested to provide more detailed documentation with elaboration on how the system is achieved by each class. The readability of the code can be better by replacing some magical numbers with named constants and avoiding some duplication.",documented very well,0.16907886
9-12,Documentation,551.0,10,12,"The code is well-structured, and tasks are very well achieved with good simulator views. The code is well-commented, readable and easy to understand. It is suggested to provide more detailed documentation with elaboration on how the system is achieved by each class. The readability of the code can be better by replacing some magical numbers with named constants and avoiding some duplication.",No comment supplied,0.04374025
9-12,Documentation,551.0,11,12,documented very well,No comment supplied,0.2034969
9-12,Documentation,338.0,9,10,"The assignment demonstrates satisfactory completion of base tasks with some room for improvement in fully meeting specified requirements and implementing challenge tasks. The code exhibits good organization, readability, and adherence to coding conventions, although documentation could be more comprehensive. ","The code is generally well-structured and accomplishes the base tasks. One challenge task is also attempted. However, it seems to be not reasonable that the hedgehog will eventually take over the system through simulation. The code provides some readable comments. It is also suggested to provide general documentation with detailed elaborations on how the system is accomplished.",0.37925935
9-12,Documentation,338.0,9,11,"The assignment demonstrates satisfactory completion of base tasks with some room for improvement in fully meeting specified requirements and implementing challenge tasks. The code exhibits good organization, readability, and adherence to coding conventions, although documentation could be more comprehensive. ",Documentation copied and pasted. Inaccurate comments.,0.15174305
9-12,Documentation,338.0,9,12,"The assignment demonstrates satisfactory completion of base tasks with some room for improvement in fully meeting specified requirements and implementing challenge tasks. The code exhibits good organization, readability, and adherence to coding conventions, although documentation could be more comprehensive. ",No comment supplied,0.06259479
9-12,Documentation,338.0,10,11,"The code is generally well-structured and accomplishes the base tasks. One challenge task is also attempted. However, it seems to be not reasonable that the hedgehog will eventually take over the system through simulation. The code provides some readable comments. It is also suggested to provide general documentation with detailed elaborations on how the system is accomplished.",Documentation copied and pasted. Inaccurate comments.,0.09619933
9-12,Documentation,338.0,10,12,"The code is generally well-structured and accomplishes the base tasks. One challenge task is also attempted. However, it seems to be not reasonable that the hedgehog will eventually take over the system through simulation. The code provides some readable comments. It is also suggested to provide general documentation with detailed elaborations on how the system is accomplished.",No comment supplied,0.033519503
9-12,Documentation,338.0,11,12,Documentation copied and pasted. Inaccurate comments.,No comment supplied,0.31427628
9-12,Documentation,211.0,9,10,No comment supplied,The code is generally well-structured and accomplishes the base tasks. Some challenge tasks are also attempted. It is suggested to break down some complex methods into smaller and manageable methods for better readability. It is also suggested to provide general documentation with detailed elaborations on how the system is accomplished.,0.020759324
9-12,Documentation,211.0,9,11,No comment supplied,"Comments are not fully supportive of the code, hard to make out what some functions do. ",0.3411947
9-12,Documentation,211.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Documentation,211.0,10,11,The code is generally well-structured and accomplishes the base tasks. Some challenge tasks are also attempted. It is suggested to break down some complex methods into smaller and manageable methods for better readability. It is also suggested to provide general documentation with detailed elaborations on how the system is accomplished.,"Comments are not fully supportive of the code, hard to make out what some functions do. ",0.45578095
9-12,Documentation,211.0,10,12,The code is generally well-structured and accomplishes the base tasks. Some challenge tasks are also attempted. It is suggested to break down some complex methods into smaller and manageable methods for better readability. It is also suggested to provide general documentation with detailed elaborations on how the system is accomplished.,No comment supplied,0.020759324
9-12,Documentation,211.0,11,12,"Comments are not fully supportive of the code, hard to make out what some functions do. ",No comment supplied,0.3411947
9-12,Documentation,583.0,9,10,"The student demonstrates a solid understanding of object oriented principles and simulation modelling concepts. There is room for minor improvements in code readability and documentation, the implementation is effective and meets the requirements outlined.","The code is well-structured and accomplishes the base tasks as well as some challenges. The code is well-commented, readable and easy to understand. It is suggested to provide a more detailed documentation with elaboration on how the system is achieved by each class. The readability of the code can be better by replacing some magical numbers with named constants and avoiding some duplication.",0.46915954
9-12,Documentation,583.0,9,11,"The student demonstrates a solid understanding of object oriented principles and simulation modelling concepts. There is room for minor improvements in code readability and documentation, the implementation is effective and meets the requirements outlined.","Some documentation errors, a lot of comments are copied and pasted and not very clear",0.14479372
9-12,Documentation,583.0,9,12,"The student demonstrates a solid understanding of object oriented principles and simulation modelling concepts. There is room for minor improvements in code readability and documentation, the implementation is effective and meets the requirements outlined.",No comment supplied,-0.022915114
9-12,Documentation,583.0,10,11,"The code is well-structured and accomplishes the base tasks as well as some challenges. The code is well-commented, readable and easy to understand. It is suggested to provide a more detailed documentation with elaboration on how the system is achieved by each class. The readability of the code can be better by replacing some magical numbers with named constants and avoiding some duplication.","Some documentation errors, a lot of comments are copied and pasted and not very clear",0.17689186
9-12,Documentation,583.0,10,12,"The code is well-structured and accomplishes the base tasks as well as some challenges. The code is well-commented, readable and easy to understand. It is suggested to provide a more detailed documentation with elaboration on how the system is achieved by each class. The readability of the code can be better by replacing some magical numbers with named constants and avoiding some duplication.",No comment supplied,0.051920168
9-12,Documentation,583.0,11,12,"Some documentation errors, a lot of comments are copied and pasted and not very clear",No comment supplied,0.29711023
9-12,Documentation,618.0,9,10,No comment supplied,"The code is generally well-structured and accomplishes some tasks. However, in the simulation, it seems the grasshoppers are not finding grass, and the grass is surrounded by hawks. The code provides readable comments. It is also suggested to provide general documentation with detailed elaborations on how the system is accomplished.",0.05074455
9-12,Documentation,618.0,9,11,No comment supplied,Very well documented. Every comment explains each line of code perfectly.,0.23389356
9-12,Documentation,618.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Documentation,618.0,10,11,"The code is generally well-structured and accomplishes some tasks. However, in the simulation, it seems the grasshoppers are not finding grass, and the grass is surrounded by hawks. The code provides readable comments. It is also suggested to provide general documentation with detailed elaborations on how the system is accomplished.",Very well documented. Every comment explains each line of code perfectly.,0.3477887
9-12,Documentation,618.0,10,12,"The code is generally well-structured and accomplishes some tasks. However, in the simulation, it seems the grasshoppers are not finding grass, and the grass is surrounded by hawks. The code provides readable comments. It is also suggested to provide general documentation with detailed elaborations on how the system is accomplished.",No comment supplied,0.05074455
9-12,Documentation,618.0,11,12,Very well documented. Every comment explains each line of code perfectly.,No comment supplied,0.23389356
9-12,Documentation,615.0,9,10,No comment supplied,The submission is identical to the provided sample code.,0.13898596
9-12,Documentation,615.0,9,11,No comment supplied,submitted template ,0.17308854
9-12,Documentation,615.0,9,12,No comment supplied,there does not seem to be any code added to the handout that is the work of the individual,0.15862997
9-12,Documentation,615.0,10,11,The submission is identical to the provided sample code.,submitted template ,0.50531685
9-12,Documentation,615.0,10,12,The submission is identical to the provided sample code.,there does not seem to be any code added to the handout that is the work of the individual,0.5067679
9-12,Documentation,615.0,11,12,submitted template ,there does not seem to be any code added to the handout that is the work of the individual,0.26447746
9-12,Documentation,541.0,9,10,No comment supplied,"The base tasks are very well achieved, and some challenging tasks are also attempted. The code is well-commented and provides good readability. The representation of the colors can be clarified in the simulator view for further improvements.",0.081719235
9-12,Documentation,541.0,9,11,No comment supplied,well documented,0.21633169
9-12,Documentation,541.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Documentation,541.0,10,11,"The base tasks are very well achieved, and some challenging tasks are also attempted. The code is well-commented and provides good readability. The representation of the colors can be clarified in the simulator view for further improvements.",well documented,0.03166462
9-12,Documentation,541.0,10,12,"The base tasks are very well achieved, and some challenging tasks are also attempted. The code is well-commented and provides good readability. The representation of the colors can be clarified in the simulator view for further improvements.",No comment supplied,0.081719235
9-12,Documentation,541.0,11,12,well documented,No comment supplied,0.21633169
9-12,Documentation,185.0,9,10,No comment supplied,The base tasks are achieved and some challenge tasks are also attempted. The code provides good readability with detailed comments. The simulator view can be improved by specifying the representation of the colors.,0.09862294
9-12,Documentation,185.0,9,11,No comment supplied,documentation is clear and easy to follow,0.12984675
9-12,Documentation,185.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Documentation,185.0,10,11,The base tasks are achieved and some challenge tasks are also attempted. The code provides good readability with detailed comments. The simulator view can be improved by specifying the representation of the colors.,documentation is clear and easy to follow,0.26074463
9-12,Documentation,185.0,10,12,The base tasks are achieved and some challenge tasks are also attempted. The code provides good readability with detailed comments. The simulator view can be improved by specifying the representation of the colors.,No comment supplied,0.09862294
9-12,Documentation,185.0,11,12,documentation is clear and easy to follow,No comment supplied,0.12984675
9-12,Documentation,9.0,9,10,No comment supplied,The base tasks are achieved and one challenge task is attempted. The code is generally well-commented and the readability of the code is good. The simulator view can be improved by specifying the representation of the colors.,0.06288279
9-12,Documentation,9.0,9,11,No comment supplied,documentation defines every function and class ,-0.0009304378
9-12,Documentation,9.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Documentation,9.0,10,11,The base tasks are achieved and one challenge task is attempted. The code is generally well-commented and the readability of the code is good. The simulator view can be improved by specifying the representation of the colors.,documentation defines every function and class ,0.07390493
9-12,Documentation,9.0,10,12,The base tasks are achieved and one challenge task is attempted. The code is generally well-commented and the readability of the code is good. The simulator view can be improved by specifying the representation of the colors.,No comment supplied,0.06288279
9-12,Documentation,9.0,11,12,documentation defines every function and class ,No comment supplied,-0.0009304378
9-12,Documentation,323.0,9,10,No comment supplied,The base tasks are achieved and some challenge tasks are also attempted. The code provides good readability with detailed comments. The simulator view can be improved by specifying the representation of the colors.,0.09862294
9-12,Documentation,323.0,9,11,No comment supplied,"some inconsistencies however, majority of the documentation is clear and explains the function and classes",0.07333963
9-12,Documentation,323.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Documentation,323.0,10,11,The base tasks are achieved and some challenge tasks are also attempted. The code provides good readability with detailed comments. The simulator view can be improved by specifying the representation of the colors.,"some inconsistencies however, majority of the documentation is clear and explains the function and classes",0.33067086
9-12,Documentation,323.0,10,12,The base tasks are achieved and some challenge tasks are also attempted. The code provides good readability with detailed comments. The simulator view can be improved by specifying the representation of the colors.,No comment supplied,0.09862294
9-12,Documentation,323.0,11,12,"some inconsistencies however, majority of the documentation is clear and explains the function and classes",No comment supplied,0.07333963
9-12,Correctness,429.0,9,10,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,429.0,9,11,No comment supplied,all core tasks and challenging tasks completed,0.02048506
9-12,Correctness,429.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,429.0,10,11,No comment supplied,all core tasks and challenging tasks completed,0.02048506
9-12,Correctness,429.0,10,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,429.0,11,12,all core tasks and challenging tasks completed,No comment supplied,0.02048506
9-12,Correctness,38.0,9,10,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,38.0,9,11,No comment supplied,All core tasks and challenge tasks completed.,0.040372916
9-12,Correctness,38.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,38.0,10,11,No comment supplied,All core tasks and challenge tasks completed.,0.040372916
9-12,Correctness,38.0,10,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,38.0,11,12,All core tasks and challenge tasks completed.,No comment supplied,0.040372916
9-12,Correctness,441.0,9,10,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,441.0,9,11,No comment supplied,Core tasks and challenging tasks all completed,0.0022465251
9-12,Correctness,441.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,441.0,10,11,No comment supplied,Core tasks and challenging tasks all completed,0.0022465251
9-12,Correctness,441.0,10,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,441.0,11,12,Core tasks and challenging tasks all completed,No comment supplied,0.0022465251
9-12,Correctness,249.0,9,10,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,249.0,9,11,No comment supplied,"Completed all the core tasks and challenging tasks however, not the best quality code.",0.08720715
9-12,Correctness,249.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,249.0,10,11,No comment supplied,"Completed all the core tasks and challenging tasks however, not the best quality code.",0.08720715
9-12,Correctness,249.0,10,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,249.0,11,12,"Completed all the core tasks and challenging tasks however, not the best quality code.",No comment supplied,0.08720715
9-12,Correctness,330.0,9,10,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,330.0,9,11,No comment supplied,completed all core tasks and challenging tasks,0.030112732
9-12,Correctness,330.0,9,12,No comment supplied,"does not download on gradescope so unable to check if it compiles but looking at the code, i have given a correctness mark given that it does compile. if not 0 points should be given. ",0.03437189
9-12,Correctness,330.0,10,11,No comment supplied,completed all core tasks and challenging tasks,0.030112732
9-12,Correctness,330.0,10,12,No comment supplied,"does not download on gradescope so unable to check if it compiles but looking at the code, i have given a correctness mark given that it does compile. if not 0 points should be given. ",0.03437189
9-12,Correctness,330.0,11,12,completed all core tasks and challenging tasks,"does not download on gradescope so unable to check if it compiles but looking at the code, i have given a correctness mark given that it does compile. if not 0 points should be given. ",0.08965101
9-12,Correctness,97.0,9,10,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,97.0,9,11,No comment supplied,unclear what the natural disasters do; they just kill the organism and doesn't change their behaviour. ,0.0363259
9-12,Correctness,97.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,97.0,10,11,No comment supplied,unclear what the natural disasters do; they just kill the organism and doesn't change their behaviour. ,0.0363259
9-12,Correctness,97.0,10,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,97.0,11,12,unclear what the natural disasters do; they just kill the organism and doesn't change their behaviour. ,No comment supplied,0.0363259
9-12,Correctness,604.0,9,10,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,604.0,9,11,No comment supplied,Most of the tasks completed.,0.10081211
9-12,Correctness,604.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,604.0,10,11,No comment supplied,Most of the tasks completed.,0.10081211
9-12,Correctness,604.0,10,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,604.0,11,12,Most of the tasks completed.,No comment supplied,0.10081211
9-12,Correctness,615.0,9,10,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,615.0,9,11,No comment supplied,submitted template ,0.17308854
9-12,Correctness,615.0,9,12,No comment supplied,there does not seem to be any addition of code written by the individual in addition to the code handout. ,0.18173292
9-12,Correctness,615.0,10,11,No comment supplied,submitted template ,0.17308854
9-12,Correctness,615.0,10,12,No comment supplied,there does not seem to be any addition of code written by the individual in addition to the code handout. ,0.18173292
9-12,Correctness,615.0,11,12,submitted template ,there does not seem to be any addition of code written by the individual in addition to the code handout. ,0.21578872
9-12,Correctness,478.0,9,10,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,478.0,9,11,No comment supplied,Completed all core tasks and challenging tasks. Added a Unit test as well,0.06622146
9-12,Correctness,478.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,478.0,10,11,No comment supplied,Completed all core tasks and challenging tasks. Added a Unit test as well,0.06622146
9-12,Correctness,478.0,10,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,478.0,11,12,Completed all core tasks and challenging tasks. Added a Unit test as well,No comment supplied,0.06622146
9-12,Correctness,294.0,9,10,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,294.0,9,11,No comment supplied,"a creative way to implement a ""disease"" this is done by animals eating plastic. all core tasks and challenge tasks completed.",-0.006766785
9-12,Correctness,294.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,294.0,10,11,No comment supplied,"a creative way to implement a ""disease"" this is done by animals eating plastic. all core tasks and challenge tasks completed.",-0.006766785
9-12,Correctness,294.0,10,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,294.0,11,12,"a creative way to implement a ""disease"" this is done by animals eating plastic. all core tasks and challenge tasks completed.",No comment supplied,-0.006766785
9-12,Correctness,49.0,9,10,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,49.0,9,11,No comment supplied,all core tasks and challenging tasks completed,0.02048506
9-12,Correctness,49.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,49.0,10,11,No comment supplied,all core tasks and challenging tasks completed,0.02048506
9-12,Correctness,49.0,10,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,49.0,11,12,all core tasks and challenging tasks completed,No comment supplied,0.02048506
9-12,Correctness,246.0,9,10,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,246.0,9,11,No comment supplied,all core tasks and challenging tasks were completed,0.026256133
9-12,Correctness,246.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,246.0,10,11,No comment supplied,all core tasks and challenging tasks were completed,0.026256133
9-12,Correctness,246.0,10,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,246.0,11,12,all core tasks and challenging tasks were completed,No comment supplied,0.026256133
9-12,Correctness,440.0,9,10,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,440.0,9,11,No comment supplied,Completed all core tasks and challenging tasks,0.030112732
9-12,Correctness,440.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,440.0,10,11,No comment supplied,Completed all core tasks and challenging tasks,0.030112732
9-12,Correctness,440.0,10,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,440.0,11,12,Completed all core tasks and challenging tasks,No comment supplied,0.030112732
9-12,Correctness,70.0,9,10,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,70.0,9,11,No comment supplied,all the core tasks and challenging tasks were completed,0.03219501
9-12,Correctness,70.0,9,12,No comment supplied,missing consistency in indentation and spaces between methods and logical blocks. ,-0.019506296
9-12,Correctness,70.0,10,11,No comment supplied,all the core tasks and challenging tasks were completed,0.03219501
9-12,Correctness,70.0,10,12,No comment supplied,missing consistency in indentation and spaces between methods and logical blocks. ,-0.019506296
9-12,Correctness,70.0,11,12,all the core tasks and challenging tasks were completed,missing consistency in indentation and spaces between methods and logical blocks. ,0.08730091
9-12,Correctness,551.0,9,10,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,551.0,9,11,No comment supplied,does not compile - missing libraries,0.12245528
9-12,Correctness,551.0,9,12,No comment supplied,many files did not compile when the submission was downloaded,0.08144259
9-12,Correctness,551.0,10,11,No comment supplied,does not compile - missing libraries,0.12245528
9-12,Correctness,551.0,10,12,No comment supplied,many files did not compile when the submission was downloaded,0.08144259
9-12,Correctness,551.0,11,12,does not compile - missing libraries,many files did not compile when the submission was downloaded,0.42913032
9-12,Correctness,618.0,9,10,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,618.0,9,11,No comment supplied,"Program runs perfectly, all core tasks and challenging tasks completed to a good quality.",0.028134778
9-12,Correctness,618.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,618.0,10,11,No comment supplied,"Program runs perfectly, all core tasks and challenging tasks completed to a good quality.",0.028134778
9-12,Correctness,618.0,10,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,618.0,11,12,"Program runs perfectly, all core tasks and challenging tasks completed to a good quality.",No comment supplied,0.028134778
9-12,Correctness,338.0,9,10,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,338.0,9,11,No comment supplied,Completed all the core tasks and challenging tasks with some errors.,0.048658166
9-12,Correctness,338.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,338.0,10,11,No comment supplied,Completed all the core tasks and challenging tasks with some errors.,0.048658166
9-12,Correctness,338.0,10,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,338.0,11,12,Completed all the core tasks and challenging tasks with some errors.,No comment supplied,0.048658166
9-12,Correctness,211.0,9,10,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,211.0,9,11,No comment supplied,"Compilations errors, completed all of the core tasks. Some of the challenging tasks completed to some degree however not to great quality.",0.13149555
9-12,Correctness,211.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,211.0,10,11,No comment supplied,"Compilations errors, completed all of the core tasks. Some of the challenging tasks completed to some degree however not to great quality.",0.13149555
9-12,Correctness,211.0,10,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,211.0,11,12,"Compilations errors, completed all of the core tasks. Some of the challenging tasks completed to some degree however not to great quality.",No comment supplied,0.13149555
9-12,Correctness,583.0,9,10,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,583.0,9,11,No comment supplied,All core and challenge tasks completed. ,0.058295242
9-12,Correctness,583.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,583.0,10,11,No comment supplied,All core and challenge tasks completed. ,0.058295242
9-12,Correctness,583.0,10,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,583.0,11,12,All core and challenge tasks completed. ,No comment supplied,0.058295242
9-12,Correctness,448.0,9,10,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,448.0,9,11,No comment supplied,completed all core tasks and some of the challenging tasks,0.044522557
9-12,Correctness,448.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,448.0,10,11,No comment supplied,completed all core tasks and some of the challenging tasks,0.044522557
9-12,Correctness,448.0,10,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,448.0,11,12,completed all core tasks and some of the challenging tasks,No comment supplied,0.044522557
9-12,Correctness,9.0,9,10,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,9.0,9,11,No comment supplied,core tasks completed however no challenging tasks attempted ,0.061797474
9-12,Correctness,9.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,9.0,10,11,No comment supplied,core tasks completed however no challenging tasks attempted ,0.061797474
9-12,Correctness,9.0,10,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,9.0,11,12,core tasks completed however no challenging tasks attempted ,No comment supplied,0.061797474
9-12,Correctness,323.0,9,10,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,323.0,9,11,No comment supplied,core and challenging tasks completed,0.047037452
9-12,Correctness,323.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,323.0,10,11,No comment supplied,core and challenging tasks completed,0.047037452
9-12,Correctness,323.0,10,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,323.0,11,12,core and challenging tasks completed,No comment supplied,0.047037452
9-12,Correctness,320.0,9,10,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,320.0,9,11,No comment supplied,core and challenging tasks completed,0.047037452
9-12,Correctness,320.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,320.0,10,11,No comment supplied,core and challenging tasks completed,0.047037452
9-12,Correctness,320.0,10,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,320.0,11,12,core and challenging tasks completed,No comment supplied,0.047037452
9-12,Correctness,185.0,9,10,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,185.0,9,11,No comment supplied,core and challenging tasks completed,0.047037452
9-12,Correctness,185.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,185.0,10,11,No comment supplied,core and challenging tasks completed,0.047037452
9-12,Correctness,185.0,10,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,185.0,11,12,core and challenging tasks completed,No comment supplied,0.047037452
9-12,Correctness,664.0,9,10,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,664.0,9,11,No comment supplied,core and challenging tasks completed,0.047037452
9-12,Correctness,664.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,664.0,10,11,No comment supplied,core and challenging tasks completed,0.047037452
9-12,Correctness,664.0,10,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,664.0,11,12,core and challenging tasks completed,No comment supplied,0.047037452
9-12,Correctness,682.0,9,10,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,682.0,9,11,No comment supplied,core and challenging tasks completed. added natural disasters,0.040821735
9-12,Correctness,682.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,682.0,10,11,No comment supplied,core and challenging tasks completed. added natural disasters,0.040821735
9-12,Correctness,682.0,10,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,682.0,11,12,core and challenging tasks completed. added natural disasters,No comment supplied,0.040821735
9-12,Correctness,517.0,9,10,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,517.0,9,11,No comment supplied,completed all core and challenging tasks. simulator is in 3D view as well,0.06224395
9-12,Correctness,517.0,9,12,No comment supplied,does not compile,0.13401234
9-12,Correctness,517.0,10,11,No comment supplied,completed all core and challenging tasks. simulator is in 3D view as well,0.06224395
9-12,Correctness,517.0,10,12,No comment supplied,does not compile,0.13401234
9-12,Correctness,517.0,11,12,completed all core and challenging tasks. simulator is in 3D view as well,does not compile,0.08184386
9-12,Correctness,580.0,9,10,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,580.0,9,11,No comment supplied,"added a graph view, core and challenging tasks completed",0.10002865
9-12,Correctness,580.0,9,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,580.0,10,11,No comment supplied,"added a graph view, core and challenging tasks completed",0.10002865
9-12,Correctness,580.0,10,12,No comment supplied,No comment supplied,0.99999994
9-12,Correctness,580.0,11,12,"added a graph view, core and challenging tasks completed",No comment supplied,0.10002865
